"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.97,0.665,11,-6.599,0,0.164,0.00162,2.12e-05,0.301,0.719,120.006,136534,3,"Fire Sale - Church & AP Remix","Gab"
0.699,0.538,2,-7.974,1,0.0365,0.00682,0.00376,0.199,0.466,135.058,207133,4,"Paint California","Gab"
0.78,0.714,0,-6.081,0,0.0855,0.0827,0.00102,0.175,0.643,119.99,177692,4,"Time I Love to Waste - Kilder Remix","Gab"
0.624,0.559,3,-9.879,1,0.0436,0.00283,0.195,0.211,0.125,126.032,193439,3,"Magnify - Choomba Remix","Gab"
0.886,0.591,4,-7.881,0,0.134,0.222,0.104,0.262,0.314,119.994,229000,4,"Dsnt Rlly Matter","Gab"
0.693,0.91,7,-9.492,1,0.0705,0.0179,0.93,0.271,0.826,125.004,184842,4,"Foggy Geezer","Gab"
0.715,0.862,4,-8.182,0,0.0632,0.0108,0.788,0.128,0.152,124,217258,4,"Eternity (feat. Lena Leon)","Gab"
0.701,0.518,8,-8.871,0,0.056,0.122,0.851,0.046,0.303,124.005,240000,4,"Alive","Gab"
0.716,0.73,7,-5.341,1,0.0385,0.0287,7.5e-06,0.107,0.184,120.94,184767,4,"Hello Sunday (feat. Caitlyn Scarlett)","Gab"
0.761,0.778,3,-7.153,0,0.0852,0.00127,0.0938,0.304,0.419,125.982,195750,4,"Fudge - Low Steppa Remix - Edit","Gab"
0.738,0.768,0,-5.767,1,0.0429,0.117,0.577,0.103,0.572,121.008,227123,4,"Hold It","Gab"
0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779,4,"Silent Hill","Gab"
0.605,0.692,8,-7.45,1,0.446,0.495,0,0.303,0.685,124.84,224466,5,"Savior","Gab"
0.727,0.53,9,-8.616,1,0.312,0.283,2.76e-05,0.392,0.258,174.025,210841,3,"Mr. Morale","Gab"
0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,324423,4,"Night Moves","Gab"
0.534,0.571,9,-7.204,0,0.0438,0.704,0.0182,0.168,0.469,106.876,226078,4,"Low Tide","Gab"
0.741,0.614,7,-7.255,0,0.032,0.317,0.0898,0.153,0.652,121.988,206346,4,"Hopes Up","Gab"
0.862,0.79,4,-8.412,0,0.0672,0.0418,0.00615,0.0746,0.587,129.005,186125,4,"My Humps","Gab"
0.735,0.949,9,-3.734,1,0.084,0.00212,0.561,0.347,0.557,125.03,176720,4,"Acrobatic","Gab"
0.827,0.665,11,-6.261,1,0.0443,0.00942,7.89e-05,0.0629,0.388,128.012,240005,4,"Its Time to Move","Gab"
0.355,0.234,0,-9.661,1,0.035,0.825,9.19e-06,0.291,0.106,136.025,194315,4,"Always Remember Us This Way","Gab"
0.73,0.505,2,-9.248,1,0.0606,0.119,0.711,0.148,0.38,119.995,310573,4,"Tunnel","Gab"
0.904,0.831,11,-5.633,1,0.139,0.0213,0.00441,0.157,0.604,123.032,203496,4,"hollaback bitch (with Shygirl & Channel Tres)","Gab"
0.828,0.54,1,-8.54,1,0.0933,0.0259,0.179,0.145,0.485,120.048,230013,4,"Topdown","Gab"
0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988,171429,4,"Tell Me Why - MEDUZA Remix","Gab"
0.803,0.823,2,-5.968,1,0.0598,0.00596,0.0012,0.336,0.769,124.998,172826,4,"Lost Myself Again","Gab"
